Date,Amount,Token symbol,Type,Direction,From,From origin,To,To origin,Token L1 address,Token L2 address,Transaction hash
"18/6/2024, 19:46:12",2400,Claim on: airdrop-zk.com,transfer,in,0x5A7d6b2F92C77FAD6CCaBd7EE0624E64907Eaf3E,zkSync Mainnet,0x4563cE46D857ca9d7c30fe1729dEA71555CBf6B9,zkSync Mainnet,,0x2f851600A2cdBA2163B791460663f0b0Da4FDC90,0x56813b0b9e67882981102f8a90356abb1b0eb47c729441da813f82da69ee32bf
"1/9/2023, 08:47:47",0.007,ETH,transfer,in,0xCD0E8Fb86fb6FC5591Bc0801490d33d515Ba613F,zkSync Mainnet,0x4563cE46D857ca9d7c30fe1729dEA71555CBf6B9,zkSync Mainnet,0x0000000000000000000000000000000000000000,0x000000000000000000000000000000000000800A,0x90f2b9bea0f8feb45e954965b9a57da0e7a30fed2522d31a907a9c612089a297
"31/8/2023, 20:40:50",0.006300000000009015,ETH,transfer,out,0x4563cE46D857ca9d7c30fe1729dEA71555CBf6B9,zkSync Mainnet,0x80C67432656d59144cEFf962E8fAF8926599bCF8,zkSync Mainnet,0x0000000000000000000000000000000000000000,0x000000000000000000000000000000000000800A,0xa15980489db9cab8b674310bd5469ca6d586201d68abfcb5b5aa27726a58fafc
"31/8/2023, 20:40:09",8.31225,USDC.e,transfer,out,0x4563cE46D857ca9d7c30fe1729dEA71555CBf6B9,zkSync Mainnet,0x621425a1Ef6abE91058E9712575dcc4258F8d091,zkSync Mainnet,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x3355df6D4c9C3035724Fd0e3914dE96A5a83aaf4,0xf812e645387e239b14b3c8355f5e269d79bf7055a00276db4ffdacee1e9cafef
"31/8/2023, 20:40:09",0.004994428491659498,ETH,transfer,in,0x621425a1Ef6abE91058E9712575dcc4258F8d091,zkSync Mainnet,0x4563cE46D857ca9d7c30fe1729dEA71555CBf6B9,zkSync Mainnet,0x0000000000000000000000000000000000000000,0x000000000000000000000000000000000000800A,0xf812e645387e239b14b3c8355f5e269d79bf7055a00276db4ffdacee1e9cafef
"31/8/2023, 20:32:58",0.00055,ETH,transfer,out,0x4563cE46D857ca9d7c30fe1729dEA71555CBf6B9,zkSync Mainnet,0x9161c622D6A8FA99555e82201987CC2574e4335D,zkSync Mainnet,0x0000000000000000000000000000000000000000,0x000000000000000000000000000000000000800A,0x24eb8bf09634216bd7e06b1139fd8f0fd95922e530ebb2adacff24c94a862e41
"31/8/2023, 20:32:58",,,mint,self,0x4563cE46D857ca9d7c30fe1729dEA71555CBf6B9,zkSync Mainnet,0x4563cE46D857ca9d7c30fe1729dEA71555CBf6B9,zkSync Mainnet,,0x9161c622D6A8FA99555e82201987CC2574e4335D,0x24eb8bf09634216bd7e06b1139fd8f0fd95922e530ebb2adacff24c94a862e41
"31/8/2023, 20:08:34",0.007,ETH,transfer,out,0x4563cE46D857ca9d7c30fe1729dEA71555CBf6B9,zkSync Mainnet,0xCD0E8Fb86fb6FC5591Bc0801490d33d515Ba613F,zkSync Mainnet,0x0000000000000000000000000000000000000000,0x000000000000000000000000000000000000800A,0xed035a622342a08f5c7e3027db652a3eebc69fac2aad8da69a0288138cd1a64b
"31/8/2023, 20:04:20",0.00000010937767725,USDC/WETH cSLP,transfer,out,0x4563cE46D857ca9d7c30fe1729dEA71555CBf6B9,zkSync Mainnet,0x80115c708E12eDd42E504c1cD52Aea96C547c05c,zkSync Mainnet,,0x80115c708E12eDd42E504c1cD52Aea96C547c05c,0x5a4d68a688491a582e4159a9ff06501e8c954343f87de481c56f350a7169592c
"31/8/2023, 20:04:20",4.999549,USDC.e,transfer,in,0x621425a1Ef6abE91058E9712575dcc4258F8d091,zkSync Mainnet,0x4563cE46D857ca9d7c30fe1729dEA71555CBf6B9,zkSync Mainnet,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x3355df6D4c9C3035724Fd0e3914dE96A5a83aaf4,0x5a4d68a688491a582e4159a9ff06501e8c954343f87de481c56f350a7169592c
"31/8/2023, 20:04:20",0.003019571645246484,ETH,transfer,in,0x621425a1Ef6abE91058E9712575dcc4258F8d091,zkSync Mainnet,0x4563cE46D857ca9d7c30fe1729dEA71555CBf6B9,zkSync Mainnet,0x0000000000000000000000000000000000000000,0x000000000000000000000000000000000000800A,0x5a4d68a688491a582e4159a9ff06501e8c954343f87de481c56f350a7169592c
